,price_per_hour,diffs,miles_per_day
count,2316.0,237078.0,44486.0
mean,24.712950262425775,349.9610001286708,226390.72359132825
std,33.81857329951945,1362.0338695550151,598090.978798099
min,0.0,0.0,0.0
0%,0.0,0.0,0.0
10%,0.0,5.500000000000001,0.0
20%,0.0,10.5,0.0
30.0%,0.0,16.662165509259268,0.0
40%,8.027729719194863,23.88125,0.0
50%,15.118578920369089,32.76307725694444,18.955980881483484
60.0%,21.380899352993957,43.653515432098786,141.1991360433724
70%,29.266234624590595,57.76248412698411,792.3960263590739
80%,42.03894298472224,75.45041666666668,13777.182833912158
90%,62.31619157640327,128.1626250000002,1041231.7371502155
max,413.11822359545783,8471.48125,5388371.870014546
